ITEM-ID	DESC-1	DESC-2	VEND-ID	VEND-ITEM-ID	PROD-CLS	KEYWORD	STK-UOM	CST-UOM	PRC-UOM	TYPE	CHARACTERISTICS	BUYER-CD	ALW-SLS-HIST	ALW-SERIALIZED	WARRANTY ITEM	ALW-PERC-LVL-ADJ	ALW-COMMIS	ALW-LOT-INVEN	MFG-PUR-REP-SURCHG	PHANTOM	ALW-MODEL-ITEM	ALW-BACKFLUSH	REV-DT	EFF-DT	WGT-UOM	STD-CSTIML	COMMIS-PERC	UNT-WGT
 EC-1-19            	"BRACKET,HANDLE           "	REV I/R                  	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	11/15/2000	      	0	0	0
 EC-1-A             	MAIN FRAME WELDMENT      	REV I/R                  	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	11/15/2000	      	0	0	0
 EC-1-E             	HANDLE WELDMENT          	REV I/R                  	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	11/15/2000	      	0	0	0
 Z5105              	LINER                    	                         	150501	                    	EXPS	WELDING        	EA    	EA    	EA    	  	                              	   	N	Y	N	N	N	N	P	N	N	N	        	2/4/2000	      	11.69	0	0
0004                	COVER BRACKET            	                         	      	                    	FGIN	STIRLING       	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	10/17/2000	      	0	0	0
00308               	BIG MOUTH FUNNEL N/VENTED	REV.1                    	      	                    	FGIN	ULTRATECH      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	6/29/1998	      	0	0	0
00415               	4 DRUM PALLET RAMP       	                         	      	                    	FGIN	ULTRATECH      	EA    	EA    	EA    	  	SAME AS NEW PIG PAK402        	AA 	Y	 	 	 	Y	 	M	 	 	 	        	10/15/1998	      	0	0	0
00554344            	RUBBER PLATE             	REV #                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	8/6/2002	      	0	0	0
005597              	BUSHING-SYMN.75IDX1.0X1.0	W/SAE 863 /KSL 217       	      	                    	PURC	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	N	 	P	 	 	 	        	1/18/1992	LB    	0.93	0	1
00675               	HARD COVER ROLL TOP RAMP 	N.P. PAK603              	      	                    	FGIN	ULTRATECH      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	4/7/2000	        	EA    	154.82	0	0
008-3122-002L       	ARMOR BACK PLATE LH      	REV C                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	8/22/1996	      	0	0	0
008-3122-002R       	ARMOR BACK PLATE RH OPP. 	REV C                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	8/22/1996	      	0	0	0
008-3148-001        	CASE FRAME RH            	REV C                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	8/21/1996	      	0	0	0
008-3148-002        	CASE FRAME LH            	REV C                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	7/16/1996	8/10/1996	      	0	0	0
01-01               	EZ ENAMAL GLASS DOOR     	IR                       	      	                    	FGIN	SCHROCK STOVE  	EA    	EA    	EA    	IR	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	5/9/2005	      	0	0	0
01-42647-2          	STIFFNER                 	REV-B                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	N	 	M	 	 	 	        	7/11/1991	      	0	0	1
010-0011-100        	LOCK BOLT BURNED         	REV L                    	      	                    	FGIN	FOLGER ADAM    	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	1/11/1990	6/27/1996	      	4	0	0
010-0062-800        	OPERATING LEVER          	REV. E                   	      	                    	PART	               	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	10/23/1992	7/19/1996	      	0	0	0
010-0204-000        	PULL LINK                	REV. E                   	      	                    	PART	               	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	        	      	0	0	0
010-0445-700        	SLIDE BOLT STAMPING      	REV. E                   	      	                    	PART	               	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	        	      	0	0	0
010-0527-500        	BOTTOM LOCK BLOCK        	REV B                    	      	                    	FGIN	               	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	6/5/1996	      	0	5	0
0101-JJ1-005        	ANGLE SIDE               	                         	      	                    	PART	SPARTAN        	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	12/7/1998	      	0	0	0
01097               	HARDWARE PAK             	STEEL BULKHEAD FITTINGS  	      	                    	PART	ULTRATECH      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	11/11/1998	      	0	0	0
01099               	MODULAR CHANNEL          	DWG.NO. UT-1099 NO REV.  	      	                    	FGIN	ULTRATECH      	EA    	EA    	EA    	  	                              	OS 	Y	 	 	 	Y	 	M	 	 	 	9/15/1998	3/8/1999	      	0	0	0
011                 	BRACKET                  	                         	      	                    	FGIN	NEWAY ANCHORLOK	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	6/15/1999	      	0	0	0
011-3118-001        	DEADLOCK POST            	REV. D                   	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	7/17/1996	8/10/1996	      	0	0	0
