ITEM-ID	WHSE-CD	LAST-ACT-DT	LAST-ORD-DT	LAST-SHIP-DT	LAST-RCPT-DT	LST-TRAN-DT	LST-ADJ-DT	ECON-ORD-QTY	SHP-LEAD-TM	VEND-LD-TM	STD-COST	AVG-COST	LST-RCPT-CST	ON HAND	REL-QTY	BO-QTY	FUT-QTY	ON-ORD-QTY	MTD-RCPT	MTD-SALES	MTD-ADJ	MTD-TRAN	MTD-BOOKED	YTD-BO	QTD-PUR	PQ-PUR	DESC-1	DESC-2	VEND-ID	VEND-ITEM-ID	PROD-CLS	KEYWORD	STK-UOM	CST-UOM	PRC-UOM	TYPE	CHARACTERISTICS	BUYER-CD	ALW-SLS-HIST	ALW-SERIALIZED	WARRANTY ITEM	ALW-PERC-LVL-ADJ	ALW-COMMIS	ALW-LOT-INVEN	MFG-PUR-REP-SURCHG	PHANTOM	ALW-MODEL-ITEM	ALW-BACKFLUSH	REV-DT	EFF-DT	WGT-UOM	STD-CSTIML	COMMIS-PERC	UNT-WGT
0004																											COVER BRACKET				FGIN	STIRLING	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N		10/17/2000		0	0	0
011																											BRACKET				FGIN	NEWAY ANCHORLOK	EA	EA	EA				Y				Y		M					6/15/1999		0	0	0
015																											FILTER DOOR, SD-190      	NO REVISIONS			FGIN	STIRLING	EA	EA	EA		OLD PN# 015-P05		Y	Y	N	N	Y	N	M	N	N	N		1/14/2000		0	0	0
016																											FILTER ACCESS DOOR,SD-190	NO REVISIONS			FGIN	STIRLING	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N		1/13/2000		0	0	0
017																											CASE DOOR, SD-190        	NO REVISION			FGIN	STIRLING	EA	EA	EA		OLD PART # 017-P05		Y	Y	N	N	Y	N	M	N	N	N		1/14/2000		0	0	0
104																											MOTOR BRACE, SD-190      	NO REVISION			FGIN	STIRLING	EA	EA	EA		OLD PN# 104-P35		Y	Y	N	N	Y	N	M	N	N	N		1/14/2000		0	0	0
146																											ELECTRIC COVER, SD-190   	NO REVISIONS			FGIN	STIRLING	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N		1/14/2000		0	0	0
0304																											RD SAFE WASTE FUNNEL BLK	REV			PART	ULTRATECH	EA	EA	EA		SAME AS DRM576-BK		Y				Y		M					8/19/1997		0	0	0
00308																											BIG MOUTH FUNNEL N/VENTED	REV.1			FGIN	ULTRATECH	EA	EA	EA				Y				Y		M					6/29/1998		0	0	0
0414																											95 GALLON OVERPACK DOLLY	REV 1 (REFERENCE PAK414)			FGIN	ULTRATECH	EA	EA	EA				Y				Y		M					10/27/1997		0	0	0
00415																											4 DRUM PALLET RAMP				FGIN	ULTRATECH	EA	EA	EA		SAME AS NEW PIG PAK402	AA	Y				Y		M					10/15/1998		0	0	0
0438																											ADJUSTABLE RAMP ASSEMBLY	REV 1 (REFERENCE PAK538)			FGIN	ULTRATECH	EA	EA	EA				Y				Y		M					10/27/1997		0	0	0
00675																											HARD COVER ROLL TOP RAMP	N.P. PAK603			FGIN	ULTRATECH	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	4/7/2000		EA	154.82	0	0
01097																											HARDWARE PAK	STEEL BULKHEAD FITTINGS			PART	ULTRATECH	EA	EA	EA				Y				Y		M					11/11/1998		0	0	0
1098																											PLUG KIT				FGIN	ULTRA TECH	EA	EA	EA				Y				Y		M					5/14/1999		0	0	0
01099																											MODULAR CHANNEL	DWG.NO. UT-1099 NO REV.			FGIN	ULTRATECH	EA	EA	EA			OS	Y				Y		M				9/15/1998	3/8/1999		0	0	0
1100																											GMC TOP KICK	REV-01			FGIN	FINISHED GOODS	EA	EA	EA				Y				Y		M					8/21/1991		0	0	1
1740																											HINGE RAIL	POWDER COAT GRAY TEXTURE			FGIN	COM-TROL	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N		2/5/2002		0	0	0
