tags	Tag1	Tag2	Tag3	Tag4	Tag5	duedate	starttime	duration	alertprior	priority	status	assignedto	sequence	title	description	outcome	webpage	recursunit	recursevery	recursdayofweek	recurswithinmonth	duedateymd	type	length	lastmod	lastmoddateymd	linkedtags
New Function	New Function					12/19/2003	00:00 AM	N/A	N/A	3	9		3.0	XML Parsing		XML is now a valid input type. Field names will be stored in columns 1 - 4, and field values will be stored in column 5.		N/A	0	-1	-1	2003-12-19	Action	0	 	 	<a href='tags/new-function.html' rel='tag'>New Function</a>
New Function	New Function					12/19/2003	00:00 AM	N/A	N/A	3	9		3.0	Word Demarcation		The way in which words are delimited within a variable can now be changed. The delimiter can be specified, as well as capitalization rules. All normal word demarcation rules are recognized to parse the variable into words, including punctuation characters, and transitions from lower- to upper-case.		N/A	0	-1	-1	2003-12-19	Action	0	 	 	<a href='tags/new-function.html' rel='tag'>New Function</a>
Marketing	Marketing					04/09/2005	00:00 AM	N/A	N/A	1	9		3.0	Product Renamed from TDF Czar to PSTextMerge		Product Renamed from TDF Czar to PSTextMerge. &quot;TDF Czar&quot; has always been a mouthful, and with the change in the latest version to read MS Excel files directly, it was no longer even descriptive. Following the precedent set by the PSRenamer product, I am now calling this product PSTextMerge.		N/A	0	-1	-1	2005-04-09	Action	0	 	 	<a href='tags/marketing.html' rel='tag'>Marketing</a>
Minor Enhancement	Minor Enhancement					05/01/2005	00:00 AM	N/A	N/A	3	9		3.1	Added Play Recent submenu to Scripts Menu		Added the ability to remember recent scripts played, and to easily play them again by selecting them from the Play Recent submenu on the Script menu.	opguide/script.html	N/A	0	-1	-1	2005-05-01	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Minor Enhancement	Minor Enhancement					05/01/2005	00:00 AM	N/A	N/A	3	9		3.1	Start in User's Home Directory		Modified the starting location for the first file open dialog to show the user's home directory, rather than the PSTextMerge folder.		N/A	0	-1	-1	2005-05-01	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
New Function	New Function					05/07/2005	00:00 AM	N/A	N/A	2	9		3.1	Added Outline Format		Added a new data input format, called PSPub Outline. This format allows an outline to be easily created within any text editor. Any character may be used consistently within a file as a bullet character, to indicate a heading item. Indention is used to indicate outline levels. The output may then be formatted as HTML, in any format that the user chooses.	opguide/input.html#outline	N/A	0	-1	-1	2005-05-07	Action	0	 	 	<a href='tags/new-function.html' rel='tag'>New Function</a>
Minor Enhancement	Minor Enhancement					05/07/2005	00:00 AM	N/A	N/A	3	9		3.1	New Variable Modifier to Access File Name Base		Added a new variable modifier, &quot;b&quot;, to strip the extension from a file name and return only the base part of the name.	opguide/template.html#basefilemods	N/A	0	-1	-1	2005-05-07	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Minor Enhancement	Minor Enhancement					05/07/2005	00:00 AM	N/A	N/A	3	9		3.1	Added Global Variable of dataparent		Added a new global variable,  &quot;dataparent&quot;, allowing the enclosing folder of the input data file to be used in the output, most usefully as part of an output file name.	opguide/template.html#dataparent	N/A	0	-1	-1	2005-05-07	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Minor Enhancement	Minor Enhancement					05/17/2005	00:00 AM	N/A	N/A	3	9		3.1	Add Template Library		Added a template library. This defaults to a new templates folder in the PSTextMerge application folder. A new button on the Template tab allows you to select another folder to contain your collection of standard templates. Another new button on the Template tab allows you to open a template from the template library, rather than the folder where the input data file, or script file, resides. Recording a script that references a file from the template library will store the folder location as the template library, so that moving the template library will not later break scripts that have been recorded. In combination with the ability to reference the dataparent folder as a variable, and call out the data file name as a base file name (without a file extension), templates may now be written (and are supplied with the PSTextMerge standard distribution), that can be used with any appropriate data file, and will generate output in the data file's location, and with the data file's name (rather than hard-coding a specific output file name in each template file).	opguide/template.html#templatelib	N/A	0	-1	-1	2005-05-17	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
New Feature	New Feature					06/19/2005	00:00 AM	N/A	N/A	3	9		3.2	Hyperlinks Now Available from Excel Spreadsheets		When reading an Excel spreadsheet, if an Excel cell has a hyperlink associated with it, that hyperlink can now be accessed by adding &quot;link&quot; to the name of the column.		N/A	0	-1	-1	2005-06-19	Action	0	 	 	<a href='tags/new-feature.html' rel='tag'>New Feature</a>
